City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Talnakh,RU,-1.71,overcast clouds,69.4865,88.3972,Талнах
1,Burnie,AU,55.98,clear sky,-41.0667,145.9167,Burnie Central TownHouse Hotel
2,Atuona,PF,77.67,scattered clouds,-9.8,-139.0333,Pearl Resort
3,Butaritari,KI,81.05,broken clouds,3.0707,172.7902,No hotel found
4,East London,ZA,72.54,scattered clouds,-33.0153,27.9116,No hotel found
5,Asau,RO,29.32,overcast clouds,46.4333,26.4,No hotel found
6,Jamestown,US,31.59,mist,42.097,-79.2353,DoubleTree Jamestown
7,Ushuaia,AR,47.86,scattered clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
8,Puerto Ayora,EC,66.54,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
9,Noumea,NC,84.0,light rain,-22.2763,166.4572,Hotel Gondwana
10,Airai,TL,64.47,overcast clouds,-8.9266,125.4092,No hotel found
11,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
12,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Tara-Mé
13,Punta Arenas,CL,50.11,overcast clouds,-53.15,-70.9167,Hotel Lacolet
14,Severo-Yeniseyskiy,RU,-11.74,overcast clouds,60.3725,93.0408,Актолик
15,Castro,BR,58.93,scattered clouds,-24.7911,-50.0119,Hotel Central Palace
16,Kaitangata,NZ,52.16,overcast clouds,-46.2817,169.8464,No hotel found
17,Barrow,US,23.02,overcast clouds,71.2906,-156.7887,No hotel found
18,Basco,PH,78.46,overcast clouds,20.4487,121.9702,Tawsen Hotel
19,Hermanus,ZA,73.8,broken clouds,-34.4187,19.2345,Aloe guest house
20,Wajima,JP,41.68,broken clouds,37.4,136.9,八汐
21,Maykor,RU,13.59,broken clouds,59.0059,55.88,No hotel found
22,Yellowknife,CA,-8.54,overcast clouds,62.456,-114.3525,No hotel found
23,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,No hotel found
24,Bengkulu,ID,80.29,overcast clouds,-3.8004,102.2655,Dena Hotel
25,Longyearbyen,SJ,33.64,broken clouds,78.2186,15.6401,The Vault
26,Nanortalik,GL,25.95,few clouds,60.1432,-45.2371,Kap Farvel
27,Vaini,TO,77.16,overcast clouds,-21.2,-175.2,Keleti International Resort
28,San Pedro,PH,87.03,broken clouds,14.35,121.0167,Hotel Takara
29,Sabzevar,IR,54.68,scattered clouds,36.2126,57.6819,مامورسرا مخابرات سبزوار
30,Weatherford,US,37.53,broken clouds,32.7593,-97.7972,Clarion
31,Thompson,CA,-21.84,overcast clouds,55.7435,-97.8558,Thompson Inn
32,Marawi,PH,71.6,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
33,Cherskiy,RU,21.61,overcast clouds,68.75,161.3,No hotel found
34,Qaanaaq,GL,-24.27,overcast clouds,77.484,-69.3632,Hotel Qaanaaq
35,Berlevag,NO,30.2,broken clouds,70.8578,29.0864,No hotel found
36,Fatehpur,IN,76.95,clear sky,25.9333,80.8,No hotel found
37,Nisia Floresta,BR,79.61,broken clouds,-6.0911,-35.2086,No hotel found
38,Siyabuswa,ZA,81.09,few clouds,-25.1132,29.0445,No hotel found
39,Cap Malheureux,MU,77.41,clear sky,-19.9842,57.6142,Cape Garden
40,Saiha,IN,73.02,scattered clouds,22.4833,92.9667,No hotel found
41,Lebu,CL,48.65,clear sky,-37.6167,-73.65,No hotel found
42,Busselton,AU,71.76,clear sky,-33.65,115.3333,No hotel found
43,Cape Town,ZA,78.89,scattered clouds,-33.9258,18.4232,Townhouse Hotel
44,Chokurdakh,RU,-3.64,snow,70.6333,147.9167,No hotel found
45,Malm,NO,36.79,few clouds,64.0721,11.2172,No hotel found
46,Arraial Do Cabo,BR,73.36,overcast clouds,-22.9661,-42.0278,No hotel found
47,Tura,IN,77.07,clear sky,25.5198,90.2201,No hotel found
48,Ribas Do Rio Pardo,BR,67.93,overcast clouds,-20.4431,-53.7592,Hotel São Francisco
49,Chuy,UY,70.38,overcast clouds,-33.6971,-53.4616,Alerces
50,Magadan,RU,13.53,light snow,59.5667,150.8,Гостиница «ВМ-Центр»
51,Mataura,NZ,50.49,overcast clouds,-46.1927,168.8643,No hotel found
52,Zhigansk,RU,-14.58,overcast clouds,66.7697,123.3711,ИП Пав
53,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Central Hôtel
54,Coquimbo,CL,60.53,overcast clouds,-29.9533,-71.3436,Hotel Iberia
55,Kapaa,US,75.52,light rain,22.0752,-159.319,Pono Kai Resort
56,Jalu,LY,65.08,clear sky,29.0331,21.5482,فندق جالو السياحي
57,Bredasdorp,ZA,81.95,broken clouds,-34.5322,20.0403,Victoria Hotel
58,Santiago De Cuba,CU,75.31,few clouds,20.0247,-75.8219,Rex
59,Rikitea,PF,73.04,scattered clouds,-23.1203,-134.9692,Chez Bianca & Benoit
60,Cajati,BR,67.93,few clouds,-24.7361,-48.1228,Sueber
61,Odessa,UA,38.03,overcast clouds,46.4775,30.7326,Venus Hotel
62,Ialibu,PG,58.66,light rain,-6.2821,143.9935,No hotel found
63,Mineral Wells,US,38.08,clear sky,32.8085,-98.1128,Baker Hotel
64,La Ronge,CA,-9.15,light snow,55.1001,-105.2842,La Ronge Hotel and Suites
65,Meulaboh,ID,80.71,overcast clouds,4.1363,96.1285,Hotel Meuligou
66,Tasiilaq,GL,42.96,light rain,65.6145,-37.6368,Angmagssalik
67,Esso,RU,4.24,broken clouds,55.9333,158.7,Горизонты Камчатки
68,Mar Del Plata,AR,64.09,light rain,-38.0023,-57.5575,Nuevo Ostende
69,Sambava,MG,82.35,clear sky,-14.2667,50.1667,Royal Sava Hôtel
70,Camocim,BR,77.04,broken clouds,-2.9022,-40.8411,Hotel Dunas
71,Ancud,CL,41.97,clear sky,-41.8697,-73.8203,Cabañas
72,Zabol,AF,54.64,overcast clouds,32.25,67.25,No hotel found
73,Pudozh,RU,17.29,overcast clouds,61.8099,36.5345,Карел-Онего
74,Mahebourg,MU,82.69,scattered clouds,-20.4081,57.7,Grand Bel Air
75,Kochinda,IN,84.16,clear sky,21.7333,84.35,No hotel found
76,Mao,ES,50.56,few clouds,39.8885,4.2658,Eurohotel
77,Faya,SA,68.52,clear sky,18.3851,42.4509,No hotel found
78,Rockford,US,18.07,clear sky,42.2711,-89.094,Lafayette Hotel
79,Klaksvik,FO,50.92,light rain,62.2266,-6.589,Hotel Klaksvik
80,Varkaus,FI,27.3,overcast clouds,62.3153,27.873,Hotel Oscar
81,Cairns,AU,82.06,overcast clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
82,Byron Bay,AU,60.94,light rain,-28.65,153.6167,Lord Byron Resort
84,Norman Wells,CA,-7.56,light snow,65.282,-126.8329,Yamouri Inn
85,Wanning,CN,71.38,overcast clouds,18.8003,110.3967,No hotel found
86,Camana,PE,64.9,clear sky,-16.6228,-72.7111,Caja Arequipa
87,Sorong,ID,82.54,broken clouds,-0.8833,131.25,Hotel Membramo Marina
88,Port Alfred,ZA,74.17,broken clouds,-33.5906,26.891,No hotel found
89,Trofors,NO,28.27,scattered clouds,65.5333,13.4063,No hotel found
90,New Norfolk,AU,54.91,scattered clouds,-42.7826,147.0587,Woodbridge on the Derwent
91,Emporia,US,25.9,clear sky,38.4039,-96.1817,Budget Host Inn Emporia
92,Mayumba,GA,82.06,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
93,Kathmandu,NP,70.02,few clouds,27.7167,85.3167,Aryatara Kathmandu Hotel
94,Albany,US,34.34,clear sky,42.6001,-73.9662,No hotel found
95,Gornopravdinsk,RU,-2.06,few clouds,60.05,69.9,Гостинный двор
96,Clyde River,CA,-23.57,clear sky,70.4692,-68.5914,No hotel found
97,Piney Green,US,48.13,clear sky,34.716,-77.3202,No hotel found
98,Paragominas,BR,71.15,scattered clouds,-2.9667,-47.4833,No hotel found
99,Ust-Nera,RU,-21.84,overcast clouds,64.5667,143.2,"гостиница ""Солнечная"""
100,Faanui,PF,80.17,few clouds,-16.4833,-151.75,Oa Oa Lodge
101,Eydhafushi,MV,81.28,few clouds,5.1033,73.0708,No hotel found
102,Saint-Pierre,RE,83.88,clear sky,-21.3393,55.4781,Tropic Hotel
103,Husavik,IS,37.87,clear sky,66.0449,-17.3389,Fosshótel Húsavík
104,Dikson,RU,19.51,overcast clouds,73.5069,80.5464,No hotel found
105,Butterworth,MY,86.09,few clouds,5.3991,100.3638,No hotel found
106,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
107,Rio Gallegos,AR,50.05,broken clouds,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
108,Praia,CV,74.44,overcast clouds,14.9215,-23.5087,Casa Sodadi
109,Dudinka,RU,5.72,overcast clouds,69.4058,86.1778,Виктория
110,Rantepao,ID,73.89,broken clouds,-2.9701,119.8978,Hotel Indra Toraja
111,Orlik,RU,-4.47,overcast clouds,52.5178,99.825,Ая ганга
112,Atar,MR,72.57,clear sky,20.5169,-13.0499,فندق سكليل
114,Jennings,US,26.62,clear sky,38.7192,-90.2604,Carousel Motel
115,Jumla,NP,62.89,clear sky,29.2747,82.1838,Amar Sandesh Guesthouse
116,Viedma,AR,51.78,clear sky,-40.8135,-62.9967,Níjar
117,Hilo,US,79.29,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
118,Dubai,AE,86.29,clear sky,25.2582,55.3047,Holiday Inn Bur Dubai - Embassy District
119,Fort Nelson,CA,-26.01,broken clouds,58.8053,-122.7002,Fort Nelson Hotel
120,Namibe,AO,76.77,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
121,Isangel,VU,80.49,overcast clouds,-19.55,169.2667,Tanna Lodge
122,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
123,Stephenville,US,33.93,clear sky,32.2207,-98.2023,No hotel found
124,Vila Franca Do Campo,PT,59.41,clear sky,37.7167,-25.4333,Vinha d'Areia Beach Hotel
125,Hobyo,SO,84.15,light rain,5.3505,48.5268,No hotel found
126,Haines Junction,CA,-11.25,overcast clouds,60.7522,-137.5108,Parkside Inn
127,Gold Coast,AU,63.25,drizzle,-28.0,153.4333,Zenith
128,Bonthe,SL,79.5,broken clouds,7.5264,-12.505,No hotel found
129,Vardo,NO,31.98,broken clouds,70.3705,31.1107,Meieriet
130,Port Hueneme,US,56.95,overcast clouds,34.1478,-119.1951,No hotel found
131,Riyadh,SA,77.14,overcast clouds,24.6877,46.7219,White Palace Hotel
132,Port-Cartier,CA,35.82,moderate rain,50.0334,-66.8654,No hotel found
133,Ayan,RU,-2.96,overcast clouds,56.45,138.1667,No hotel found
134,Lypova Dolyna,UA,33.03,overcast clouds,50.5643,33.7979,Готель
135,Dingle,PH,79.57,overcast clouds,10.9995,122.6711,No hotel found
136,Esperance,AU,81.27,clear sky,-33.8667,121.9,Best Western
137,Caravelas,BR,74.39,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
138,Daru,PG,81.97,overcast clouds,-9.0763,143.2092,Kuki
139,Auburn,US,33.91,scattered clouds,47.3073,-122.2284,La Quinta Inn & Suites - Auburn
140,Roald,NO,40.33,clear sky,62.5833,6.1333,No hotel found
141,Sur,OM,81.88,scattered clouds,22.5667,59.5289,Sur Hotel
142,Kavieng,PG,82.63,light rain,-2.5744,150.7967,Kavieng Hotel
143,Hobart,AU,55.26,scattered clouds,-42.8794,147.3294,The Old Woolstore Apartment Motel
144,Nemuro,JP,30.49,clear sky,43.3236,145.575,イーストハーバーホテル
145,Carnarvon,AU,73.49,clear sky,-24.8667,113.6333,No hotel found
146,Souillac,MU,82.78,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
147,Pokhara,NP,70.86,clear sky,28.2333,83.9833,Hotel Annapurna View Sarangkot
148,Leningradskiy,RU,21.78,overcast clouds,69.3833,178.4167,No hotel found
149,San Cristobal,VE,62.29,scattered clouds,7.7669,-72.225,Terra Sur
150,Figueiro,PT,48.29,clear sky,41.2992,-8.1678,No hotel found
151,Fukue,JP,44.96,broken clouds,32.6881,128.8419,五島第一ホテル
152,Yessentukskaya,RU,32.22,overcast clouds,44.0328,42.8813,Мираж
153,Zhireken,RU,-19.05,overcast clouds,52.8249,117.3076,No hotel found
154,Rincon,US,52.86,clear sky,32.296,-81.2354,No hotel found
155,Severo-Kurilsk,RU,27.34,snow,50.6789,156.125,"""Дом рыбака"""
156,Sao Filipe,CV,74.7,overcast clouds,14.8961,-24.4956,Bela Vista
157,Sitka,US,26.49,overcast clouds,57.0531,-135.33,Aspen Suites Hotel
158,Odweyne,SO,80.53,clear sky,9.4092,45.064,فندق المدينه
159,Bluff,NZ,50.81,broken clouds,-46.6,168.3333,No hotel found
160,Tessalit,ML,74.89,overcast clouds,20.1986,1.0114,No hotel found
161,Koumac,NC,82.54,overcast clouds,-20.5667,164.2833,Monitel Koumac
162,Nouadhibou,MR,63.93,clear sky,20.931,-17.0347,Hotel valencia
163,Skelleftea,SE,26.96,clear sky,64.7507,20.9528,Hotel Victoria
164,Preobrazheniye,RU,13.06,scattered clouds,42.9019,133.9064,No hotel found
165,Herat,AF,49.23,overcast clouds,34.5,62.0,No hotel found
166,Portland,US,41.52,light rain,45.5234,-122.6762,the Hoxton
167,Mizdah,LY,53.8,few clouds,31.4451,12.9801,No hotel found
168,Aguimes,ES,65.03,scattered clouds,27.9054,-15.4461,Hotel Villa de Agüimes
169,New Deer,GB,44.04,light rain,57.5123,-2.1884,No hotel found
170,Hami,CN,20.95,overcast clouds,42.8,93.45,No hotel found
171,Zhanaozen,KZ,34.03,scattered clouds,43.3,52.8,No hotel found
172,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,Le Baril
173,Srednekolymsk,RU,-11.27,light snow,67.45,153.6833,No hotel found
174,Sabang,ID,81.95,broken clouds,5.8933,95.3214,Sabang Hill
175,Provideniya,RU,24.75,overcast clouds,64.3833,-173.3,No hotel found
176,Karratha,AU,88.16,light rain,-20.7377,116.8463,Karratha International Hotel
177,Mulanje,MW,79.97,light rain,-16.0316,35.5,No hotel found
178,Katsuura,JP,54.16,overcast clouds,35.1333,140.3,潮騒の宿
179,Coihaique,CL,44.55,few clouds,-45.5752,-72.0662,No hotel found
180,Iqaluit,CA,-9.31,broken clouds,63.7506,-68.5145,Frobisher Inn
181,Sokolo,ML,81.21,overcast clouds,14.7328,-6.1219,Mairie de la Commune de Sokolo
182,Vitim,RU,-3.95,overcast clouds,59.4511,112.5578,Гостиница Аэропорта
183,Cabo San Lucas,MX,72.52,clear sky,22.8909,-109.9124,Comfort Rooms
184,Kodiak,US,42.31,clear sky,57.79,-152.4072,Shelikof Lodge
185,The Valley,AI,79.11,clear sky,18.217,-63.0578,CeBlue
186,Puntarenas,CR,73.67,broken clouds,9.9763,-84.8384,Aquamarina
187,Lazurne,UA,43.25,overcast clouds,46.084,32.5295,No hotel found
188,Togur,RU,-4.79,overcast clouds,58.3631,82.8265,No hotel found
189,Chambar,PK,84.6,scattered clouds,25.2931,68.812,No hotel found
190,Ketchikan,US,19.87,clear sky,55.3422,-131.6461,Cape Fox Lodge
191,Trat,TH,93.4,overcast clouds,12.5,102.5,No hotel found
192,Marzuq,YE,77.52,clear sky,14.4,46.4667,No hotel found
193,Nikolskoye,RU,22.91,overcast clouds,59.7035,30.7861,No hotel found
194,Baruun-Urt,MN,-1.84,clear sky,46.6806,113.2792,No hotel found
195,Sibenik,HR,55.06,overcast clouds,43.7272,15.9058,D-Resort Sibenik
196,Lawrenceburg,US,27.68,clear sky,38.0373,-84.8966,No hotel found
197,Garowe,SO,88.29,scattered clouds,8.4054,48.4845,Red Sea
198,Waddan,LY,62.08,clear sky,29.1614,16.139,No hotel found
199,Catuday,PH,82.4,overcast clouds,16.2923,119.8062,Nina Anchors Inn
200,Xai-Xai,MZ,81.54,few clouds,-25.0519,33.6442,No hotel found
201,Adrar,MR,68.79,few clouds,20.5022,-10.0711,No hotel found
202,Codrington,AU,55.6,few clouds,-38.2667,141.9667,No hotel found
203,Salalah,OM,82.49,few clouds,17.0151,54.0924,Muscat International Hotel
204,Raga,SS,92.41,overcast clouds,8.4596,25.678,No hotel found
205,Canning,IN,84.22,clear sky,22.3189,88.6714,No hotel found
206,Mandera,KE,89.78,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
207,Coahuayana,MX,73.85,broken clouds,18.7333,-103.6833,No hotel found
208,Perigueux,FR,41.07,scattered clouds,45.1833,0.7167,Mercure Périgueux Centre
209,Banjar,ID,84.11,broken clouds,-8.19,114.9675,Villa Banjar Beach
210,Gaya,IN,78.71,haze,24.7833,85.0,Royal Guest House - CLOSED
211,Kruisfontein,ZA,74.88,broken clouds,-34.0033,24.7314,No hotel found
212,Constitucion,CL,53.29,clear sky,-35.3333,-72.4167,Hostal Alameda
213,Grand-Lahou,CI,81.7,broken clouds,5.1367,-5.0242,Cap Lahou
214,Karwar,IN,85.53,clear sky,14.8,74.1333,No hotel found
215,Vestmannaeyjar,IS,43.79,broken clouds,63.4427,-20.2734,Hotel Vestmannaeyjar
216,Dillon,US,43.9,clear sky,34.4166,-79.3712,Quality Inn
217,Darhan,MN,-4.38,clear sky,49.4867,105.9228,Алтан зочид буудал
218,Port Lincoln,AU,64.63,clear sky,-34.7333,135.8667,Boston Hotel
219,Tiksi,RU,-11.85,overcast clouds,71.6872,128.8694,Арктика
220,Ostrovnoy,RU,28.26,overcast clouds,68.0531,39.5131,No hotel found
221,Bathsheba,BB,79.41,light rain,13.2167,-59.5167,Atlantis Hotel
222,Sikeston,US,31.89,clear sky,36.8767,-89.5879,Holiday Inn Express & Suites Sikeston
223,Upernavik,GL,6.35,overcast clouds,72.7868,-56.1549,No hotel found
224,Pangody,RU,-9.67,scattered clouds,65.85,74.4859,Газпром энерго
225,Nelson Bay,AU,66.99,moderate rain,-32.7167,152.15,No hotel found
226,Saint George,US,37.99,clear sky,37.1041,-113.5841,"The Advenire, an Autograph Collection Hotel"
